"Project ID","Cancer Type","Data Source","Accession No.",Country,"Sample ID","Sample Type","Construction Protocol","Transcriptome Analysis","Metabolic Profile"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-16-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-17-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-18-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-19-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-20-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-21-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-22-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-23-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-24-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-25-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-26-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-27-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-28-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-29-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-30-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-31-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-32-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-33-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-34-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-35-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AML-029,"Acute Myeloid Leukemia","NCBI (GEO)",GSE116256,USA,AML-029-36-1E,Tumour,Seq-Well,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-08-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-09-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-09-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-09-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-10-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-10-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
OV-030,"Ovarian Carcinoma","ArrayExpress (EBI)",E-MTAB-8107,BEL,OV-030-10-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-11-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-11-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-12-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-12-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-13-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-13-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-14-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-14-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-15-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-15-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-16-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-16-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-17-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-17-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-18-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BRCA-030,"Breast Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,BRCA-030-18-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-19-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-20-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-030,"Colorectal Cancer","ArrayExpress (EBI)",E-MTAB-8107,BEL,CRC-030-21-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
BLCA-031,"Bladder Cancer","NCBI (GEO)",GSE135337,CHN,BLCA-031-08-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-04-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-05-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
ESCC-032,"Esophageal Squamous Cell Carcinoma","NCBI (GEO)",GSE196756,CHN,ESCC-032-06-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-09-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-10-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-11-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NB-033,Neuroblastoma,"NCBI (GEO)",GSE137804,CHN,NB-033-12-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
